,Strain,Fluor1 mean
574,acrAB,595.3375
575,acrAB,586.7241379310345
576,acrAB,634.6639344262295
577,acrAB,602.075
578,acrAB,594.384
579,acrAB,607.15
580,acrAB,627.125
581,acrAB,600.8387096774194
582,acrAB,551.8144329896908
583,acrAB,580.1279069767442
584,acrAB,622.0526315789474
585,acrAB,590.4285714285714
586,acrAB,568.045871559633
587,acrAB,597.76
588,acrAB,544.0196078431372
589,acrAB,647.8706896551724
590,acrAB,591.92
591,acrAB,618.9672131147541
592,acrAB,622.25
593,acrAB,614.2471910112359
594,acrAB,583.9363636363636
595,acrAB,638.24
596,acrAB,606.3012048192771
597,acrAB,645.8987341772151
598,acrAB,595.9333333333333
599,acrAB,571.0449438202247
600,acrAB,587.8888888888889
601,acrAB,602.3697478991596
602,acrAB,575.1184210526316
603,acrAB,615.6875
604,acrAB,585.28125
605,acrAB,596.5666666666667
606,acrAB,617.8727272727273
607,acrAB,622.530612244898
608,acrAB,577.6695652173913
609,acrAB,583.18
610,acrAB,577.6544117647059
611,acrAB,586.8933333333333
612,acrAB,581.9406779661017
613,acrAB,565.2582781456954
614,acrAB,560.5405405405405
615,acrAB,583.4358974358975
616,acrAB,595.6904761904761
617,acrAB,574.9052631578948
618,acrAB,578.5375
619,acrAB,594.5421686746988
620,acrAB,580.3926380368098
621,acrAB,554.5441176470588
622,acrAB,573.8861788617886
623,acrAB,563.0919540229885
624,acrAB,606.8396946564885
625,acrAB,537.8627450980392
626,acrAB,574.829268292683
627,acrAB,591.3529411764706
628,acrAB,577.8625954198474
629,acrAB,574.9428571428572
630,acrAB,548.272
631,acrAB,549.025
632,acrAB,548.9692307692308
633,acrAB,572.6306306306307
634,acrAB,647.9752066115702
635,acrAB,577.3031674208145
636,acrAB,586.7916666666666
637,acrAB,619.0983606557377
638,acrAB,629.0075757575758
639,acrAB,564.95
640,acrAB,660.6262626262626
641,acrAB,689.0208333333334
642,acrAB,708.32
643,acrAB,568.2388059701492
644,acrAB,577.0307692307692
645,acrAB,575.6490066225166
646,acrAB,568.8869565217391
647,acrAB,584.6483516483516
648,acrAB,579.6489361702128
649,acrAB,558.6024844720497
650,acrAB,535.6335877862596
651,acrAB,610.1274131274131
652,acrAB,554.76
653,acrAB,559.5212765957447
654,acrAB,556.2689075630252
655,acrAB,567.8727272727273
656,acrAB,575.625
657,acrAB,579.6030534351145
658,acrAB,543.0
659,acrAB,564.3445945945946
660,acrAB,574.8666666666667
661,acrAB,585.2311827956989
662,acrAB,583.0338983050848
663,acrAB,588.7894736842105
664,acrAB,559.3026315789474
665,acrAB,600.1851851851852
666,acrAB,575.5892857142857
667,acrAB,587.9285714285714
668,acrAB,559.1428571428571
669,acrAB,583.6666666666666
670,acrAB,553.3804347826087
671,acrAB,563.0483870967741
672,acrAB,576.6555555555556
673,acrAB,581.8656716417911
674,acrAB,577.1290322580645
675,acrAB,576.1283783783783
676,acrAB,582.957264957265
677,acrAB,593.08
678,acrAB,597.8659793814433
679,acrAB,592.0408163265306
680,acrAB,642.9830508474577
681,acrAB,637.5263157894736
682,acrAB,582.1818181818181
683,acrAB,605.8260869565217
684,acrAB,564.7021276595744
685,acrAB,595.56
686,acrAB,643.2666666666667
687,acrAB,607.0526315789474
688,acrAB,569.0166666666667
689,acrAB,666.76
690,acrAB,642.8571428571429
691,acrAB,598.12
692,acrAB,610.4512195121952
693,acrAB,586.728
694,acrAB,623.8756476683938
695,acrAB,595.9367088607595
696,acrAB,586.65625
697,acrAB,610.5094339622641
698,acrAB,596.6119402985074
699,acrAB,610.5918367346939
700,acrAB,597.2222222222222
701,acrAB,593.8382352941177
702,acrAB,576.1
703,acrAB,554.2269503546099
704,acrAB,594.170731707317
705,acrAB,873.2887323943662
706,acrAB,628.2657342657343
707,acrAB,583.7319587628866
708,acrAB,601.7454545454545
709,acrAB,586.516393442623
710,acrAB,624.5243902439024
711,acrAB,589.23
712,acrAB,603.5967741935484
713,acrAB,617.3980582524272
714,acrAB,555.70796460177
715,acrAB,563.1927710843373
716,acrAB,556.3722943722944
717,acrAB,591.1617021276596
718,acrAB,579.9357142857143
719,acrAB,676.4897959183673
720,acrAB,569.7422680412371
721,acrAB,612.6666666666666
722,acrAB,585.6309523809524
723,acrAB,611.1546052631579
724,acrAB,597.9767441860465
725,acrAB,589.335260115607
726,acrAB,580.4626865671642
727,acrAB,622.6119402985074
728,acrAB,597.125
729,acrAB,622.8367346938776
730,acrAB,603.6111111111111
731,acrAB,559.3650793650794
732,acrAB,612.9047619047619
733,acrAB,671.2586206896551
734,acrAB,590.8940397350993
735,acrAB,583.1133333333333
736,acrAB,590.6046511627907
737,acrAB,565.3793103448276
738,acrAB,575.438596491228
739,acrAB,573.9629629629629
740,acrAB,596.76
741,acrAB,667.1636363636363
742,acrAB,569.3373493975904
743,acrAB,615.5646258503401
744,acrAB,604.1973684210526
745,acrAB,585.8787878787879
746,acrAB,652.6619718309859
747,acrAB,569.0
748,acrAB,593.4366197183099
749,acrAB,581.8461538461538
750,acrAB,596.2569832402235
751,acrAB,669.0
752,acrAB,603.0625
753,acrAB,584.2705882352941
754,acrAB,577.6311475409836
755,acrAB,623.3243243243244
756,acrAB,566.2772277227723
757,acrAB,632.9823008849557
758,acrAB,578.4117647058823
759,acrAB,560.2439024390244
760,acrAB,564.4888888888889
761,acrAB,557.3333333333334
762,acrAB,541.7264150943396
763,acrAB,568.3045977011494
764,acrAB,586.4230769230769
765,acrAB,584.5172413793103
766,acrAB,624.3333333333334
767,acrAB,607.7714285714286
768,acrAB,615.9006211180124
769,acrAB,565.4907407407408
770,acrAB,566.1111111111111
771,acrAB,600.3106796116505
772,acrAB,571.2736842105263
773,acrAB,612.46875
774,acrAB,591.1935483870968
775,acrAB,668.5058823529412
776,acrAB,677.0752688172043
777,acrAB,603.46
778,acrAB,588.6611570247934
779,acrAB,602.7846153846153
780,acrAB,622.2051282051282
781,acrAB,575.3253012048193
782,acrAB,561.2272727272727
783,acrAB,602.6865671641791
784,acrAB,593.5189873417721
785,acrAB,565.8740740740741
786,acrAB,575.75
787,acrAB,606.2898550724638
788,acrAB,570.0425531914893
789,acrAB,564.768115942029
790,acrAB,568.7426470588235
791,acrAB,569.7727272727273
792,acrAB,590.8266666666667
793,acrAB,608.3809523809524
794,acrAB,569.0298507462686
795,acrAB,567.1454545454545
796,acrAB,570.0
797,acrAB,590.3728813559322
798,acrAB,559.8362068965517
799,acrAB,566.8623853211009
800,acrAB,605.3780487804878
801,acrAB,601.2285714285714
802,acrAB,597.0175438596491
803,acrAB,594.3536585365854
804,acrAB,583.490099009901
805,acrAB,609.9281045751634
806,acrAB,559.8490566037735
807,acrAB,589.5769230769231
808,acrAB,610.0769230769231
809,acrAB,623.9791666666666
810,acrAB,569.3333333333334
811,acrAB,577.2328767123288
812,acrAB,594.9215686274509
813,acrAB,593.1774193548387
814,acrAB,635.2682926829268
815,acrAB,592.34375
816,acrAB,577.3529411764706
817,acrAB,569.544
818,acrAB,578.6052631578947
819,acrAB,624.9574468085107
820,acrAB,575.0
821,acrAB,551.925
822,acrAB,604.735632183908
823,acrAB,542.7209302325581
824,acrAB,563.8297872340426
825,acrAB,580.8285714285714
826,acrAB,570.4223602484471
827,acrAB,600.0989010989011
828,acrAB,548.0
829,acrAB,534.1709401709402
830,acrAB,600.09375
831,acrAB,572.843137254902
832,acrAB,574.1666666666666
833,acrAB,550.5168539325842
834,acrAB,612.8877551020408
835,acrAB,551.07299270073
836,acrAB,574.1785714285714
837,acrAB,634.9555555555555
838,acrAB,567.1153846153846
839,acrAB,576.390625
840,acrAB,564.0933333333334
841,acrAB,575.7283950617284
842,acrAB,601.8631578947368
843,acrAB,598.4424778761062
844,acrAB,566.4444444444445
845,acrAB,579.9050279329609
846,acrAB,580.4757281553398
847,acrAB,596.4756097560976
848,acrAB,592.5566037735849
849,acrAB,579.48
850,acrAB,570.6792452830189
851,acrAB,575.5123966942149
852,acrAB,610.7721518987341
853,acrAB,570.2406015037594
854,acrAB,583.3636363636364
855,acrAB,582.566371681416
856,acrAB,563.3282828282828
857,acrAB,573.8817204301075
858,acrAB,586.5555555555555
859,acrAB,596.25
860,acrAB,581.9397590361446
861,acrAB,589.7307692307693
862,acrAB,583.3835616438356
863,acrAB,568.48
864,acrAB,573.6153846153846
865,acrAB,598.8974358974359
866,acrAB,589.3394495412844
867,acrAB,586.6537102473499
868,acrAB,567.6629213483146
869,acrAB,606.7972972972973
870,acrAB,585.5555555555555
871,acrAB,576.8761904761905
872,acrAB,602.2061855670103
873,acrAB,608.4
874,acrAB,559.812030075188
875,acrAB,586.1
876,acrAB,601.625
877,acrAB,584.3888888888889
878,acrAB,560.0612244897959
879,acrAB,602.5223880597015
880,acrAB,628.8018018018018
881,acrAB,569.7272727272727
882,acrAB,603.4285714285714
883,acrAB,567.7183098591549
884,acrAB,611.6186440677966
885,acrAB,558.2241379310345
886,acrAB,550.6415094339623
887,acrAB,589.75
888,acrAB,621.89898989899
889,acrAB,554.7692307692307
890,acrAB,595.1818181818181
891,acrAB,578.7352941176471
892,acrAB,568.0
893,acrAB,589.1190476190476
894,acrAB,558.9130434782609
895,acrAB,4478.333333333333
896,acrAB,3627.390243902439
897,acrAB,4172.624535315985
898,acrAB,3675.6190476190477
899,acrAB,3929.8571428571427
900,acrAB,2542.301470588235
901,acrAB,4489.414634146341
902,acrAB,4580.998546511628
903,acrAB,3740.3888888888887
904,acrAB,4105.349514563107
905,acrAB,3319.3246753246754
906,acrAB,4128.4671052631575
907,acrAB,3883.983870967742
908,acrAB,2658.7085714285713
909,acrAB,2976.568075117371
910,acrAB,2833.3987341772154
911,acrAB,2802.2006472491908
912,acrAB,4144.089285714285
913,acrAB,2772.68345323741
914,acrAB,3275.1354166666665
915,acrAB,3459.015748031496
916,acrAB,3817.555
917,acrAB,2512.8439716312055
918,acrAB,3108.3727598566306
919,acrAB,4582.2721893491125
920,acrAB,3579.2093023255816
921,acrAB,3454.4426877470355
922,acrAB,4704.47572815534
923,acrAB,3364.1
924,acrAB,5318.414141414141
925,acrAB,5232.113924050633
926,acrAB,4030.24
927,acrAB,2372.1704545454545
928,acrAB,6532.447619047619
929,acrAB,4114.605633802817
930,acrAB,4168.650349650349
931,acrAB,3947.787037037037
932,acrAB,4336.880733944954
933,acrAB,3723.685534591195
934,acrAB,3338.4010152284263
935,acrAB,4961.880952380952
936,acrAB,10105.754285714285
937,acrAB,4932.917525773196
938,acrAB,4965.931818181818
939,acrAB,4615.733944954129
940,acrAB,2204.189189189189
941,acrAB,6435.253968253968
942,acrAB,5589.931034482759
943,acrAB,4888.8515625
944,acrAB,3212.4285714285716
945,acrAB,3801.8544303797466
946,acrAB,4562.156521739131
947,acrAB,2797.502283105023
948,acrAB,4352.088235294118
949,acrAB,3670.118918918919
950,acrAB,3488.201923076923
951,acrAB,3649.539534883721
952,acrAB,4156.066666666667
953,acrAB,3226.9317073170732
954,acrAB,3543.7006369426754
955,acrAB,3541.925925925926
